,Country,Type,Height,Year,millionm2,glt100,clt100,Region,lev,Rate,lev1,glt,clt,Total
1,U.S.,Non-Residential,6 & lower,2020,18.06555057,0.947538127,3.757634519,United States,Low,0.001575136,Conservative Estimate,1.492501017,5.918783822,7.411284839
2,U.S.,Non-Residential,6 & lower,2020,18.06555057,0.947538127,3.757634519,United States,Medium (likely),0.01067371,Optimistic Estimate,10.11374707,40.10790066,50.22164773
3,U.S.,Non-Residential,6 & lower,2020,18.06555057,0.947538127,3.757634519,United States,High,0.054668222,Extreme Estimate,51.80022443,205.423197,257.2234214
4,China,Non-Residential,6 & lower,2020,37.38862544,1.961033404,7.776834092,China,Low,2.78E-05,Conservative Estimate,0.054481143,0.216054865,0.270536007
5,China,Non-Residential,6 & lower,2020,37.38862544,1.961033404,7.776834092,China,Medium (likely),0.000315467,Optimistic Estimate,0.618642023,2.453337288,3.071979311
6,China,Non-Residential,6 & lower,2020,37.38862544,1.961033404,7.776834092,China,High,0.003517524,Extreme Estimate,6.897982332,27.35520162,34.25318395
7,Austria,Non-Residential,6 & lower,2020,0.272701272,0.014303182,0.056721865,West Europe,Low,0.012145836,Conservative Estimate,0.173724093,0.68893444,0.862658533
8,Austria,Non-Residential,6 & lower,2020,0.272701272,0.014303182,0.056721865,West Europe,Medium (likely),0.048508378,Optimistic Estimate,0.693824141,2.751485631,3.445309772
9,Austria,Non-Residential,6 & lower,2020,0.272701272,0.014303182,0.056721865,West Europe,High,0.115489349,Extreme Estimate,1.651865141,6.550771198,8.202636339
10,France,Non-Residential,6 & lower,2020,2.859635989,0.149987908,0.594804286,West Europe,Low,0.012145836,Conservative Estimate,1.821728463,7.22439505,9.046123513
11,France,Non-Residential,6 & lower,2020,2.859635989,0.149987908,0.594804286,West Europe,Medium (likely),0.048508378,Optimistic Estimate,7.275670074,28.85299095,36.12866103
12,France,Non-Residential,6 & lower,2020,2.859635989,0.149987908,0.594804286,West Europe,High,0.115489349,Extreme Estimate,17.32200577,68.69355957,86.01556534
13,Germany,Non-Residential,6 & lower,2020,3.292843815,0.172709658,0.684911514,West Europe,Low,0.012145836,Conservative Estimate,2.097703108,8.318822622,10.41652573
14,Germany,Non-Residential,6 & lower,2020,3.292843815,0.172709658,0.684911514,West Europe,Medium (likely),0.048508378,Optimistic Estimate,8.377865328,33.22394639,41.60181172
15,Germany,Non-Residential,6 & lower,2020,3.292843815,0.172709658,0.684911514,West Europe,High,0.115489349,Extreme Estimate,19.94612593,79.09998462,99.04611055
16,Italy,Non-Residential,6 & lower,2020,1.803799825,0.094609301,0.375190364,West Europe,Low,0.012145836,Conservative Estimate,1.149109011,4.557000463,5.706109474
17,Italy,Non-Residential,6 & lower,2020,1.803799825,0.094609301,0.375190364,West Europe,Medium (likely),0.048508378,Optimistic Estimate,4.589343699,18.19987587,22.78921957
18,Italy,Non-Residential,6 & lower,2020,1.803799825,0.094609301,0.375190364,West Europe,High,0.115489349,Extreme Estimate,10.92636653,43.33049074,54.25685727
19,Netherlands,Non-Residential,6 & lower,2020,0.497785037,0.026108825,0.103539288,West Europe,Low,0.012145836,Conservative Estimate,0.317113498,1.257571163,1.574684661
20,Netherlands,Non-Residential,6 & lower,2020,0.497785037,0.026108825,0.103539288,West Europe,Medium (likely),0.048508378,Optimistic Estimate,1.266496754,5.022522875,6.289019629
21,Netherlands,Non-Residential,6 & lower,2020,0.497785037,0.026108825,0.103539288,West Europe,High,0.115489349,Extreme Estimate,3.015291217,11.9576849,14.97297612
22,Spain,Non-Residential,6 & lower,2020,1.513172956,0.079365922,0.314739975,West Europe,Low,0.012145836,Conservative Estimate,0.963965433,3.822779981,4.786745414
23,Spain,Non-Residential,6 & lower,2020,1.513172956,0.079365922,0.314739975,West Europe,Medium (likely),0.048508378,Optimistic Estimate,3.849912099,15.26752558,19.11743768
24,Spain,Non-Residential,6 & lower,2020,1.513172956,0.079365922,0.314739975,West Europe,High,0.115489349,Extreme Estimate,9.165918589,36.34911471,45.5150333
25,UK,Non-Residential,6 & lower,2020,2.089243819,0.109580838,0.434562714,West Europe,Low,0.012145836,Conservative Estimate,1.330950843,5.278127273,6.609078116
26,UK,Non-Residential,6 & lower,2020,2.089243819,0.109580838,0.434562714,West Europe,Medium (likely),0.048508378,Optimistic Estimate,5.315588694,21.07993228,26.39552098
27,UK,Non-Residential,6 & lower,2020,2.089243819,0.109580838,0.434562714,West Europe,High,0.115489349,Extreme Estimate,12.65541965,50.18736486,62.8427845
28,Argentina,Non-Residential,6 & lower,2020,0.094993639,0.004982416,0.019758677,Latin America,Low,0.000229295,Conservative Estimate,0.001142441,0.004530559,0.005673001
